x,Flaps 0,Flaps 1,Flaps 5,Flaps 10,Flaps 20,Flaps 25,Flaps 30
-4.9369,0,0.091674,0.122476,0.105102,0.104791,0.0931,0.135695
-4.9244,0,0.091506,0.122273,0.104928,0.104641,0.093006,0.135593
-4.9216,0,0.091469,0.122227,0.104889,0.104607,0.092985,0.135569
-4.9009,0,0.091191,0.12189,0.104601,0.104357,0.092829,0.135399
-4.841,0,0.090387,0.120914,0.103768,0.103634,0.092375,0.134906
-4.8241,0,0.09016,0.120639,0.103532,0.10343,0.092247,0.134766
-4.3489,0,0.08373,0.112926,0.096984,0.097544,0.08876,0.130913
-4.2603,0,0.082512,0.111507,0.095786,0.096396,0.088158,0.130215
-4.1954,0,0.081615,0.110478,0.094917,0.095548,0.087732,0.129709
-4.1593,0,0.081113,0.109911,0.094436,0.095074,0.087499,0.129429
-4.1369,0,0.0808,0.109561,0.094138,0.09478,0.087356,0.129257
-3.9479,0,0.078145,0.106675,0.091656,0.092328,0.08621,0.127824
-3.8586,0,0.076882,0.105339,0.090498,0.091199,0.085701,0.127161
-3.7513,0,0.075365,0.10374,0.089118,0.089884,0.085111,0.126376
-3.4744,0,0.071485,0.099592,0.085591,0.086741,0.083645,0.124416
-3.4499,0,0.071148,0.099221,0.085281,0.086481,0.083517,0.124247
-3.3404,0,0.069656,0.097547,0.083894,0.085354,0.082942,0.123502
-3.2637,0,0.06863,0.096352,0.082926,0.084597,0.082535,0.12299
-3.0505,0,0.065899,0.093094,0.080249,0.082629,0.081364,0.121618
-2.9491,0,0.064701,0.091702,0.078986,0.081755,0.080771,0.120995
-2.9091,0,0.06426,0.091185,0.078488,0.081418,0.080526,0.120755
-2.8989,0,0.064154,0.091056,0.078363,0.081334,0.080463,0.120695
-2.7106,0,0.062413,0.088724,0.076044,0.079792,0.0792,0.119632
-2.5844,0,0.061048,0.087121,0.074508,0.078775,0.078272,0.118988
-2.4932,0,0.059907,0.085846,0.073409,0.078037,0.077577,0.118569
-2.4823,0,0.059769,0.085681,0.073279,0.077949,0.077494,0.118523
-2.2125,0,0.056341,0.081093,0.070117,0.07569,0.075556,0.117595
-2.1726,0,0.055858,0.08053,0.069663,0.075339,0.075307,0.117488
-2.166,0,0.055778,0.08044,0.069588,0.07528,0.075267,0.117471
-1.9369,0,0.053233,0.077639,0.067069,0.073185,0.074083,0.116882
-1.9113,0,0.052976,0.077345,0.066797,0.072946,0.073971,0.116809
-1.8608,0,0.052487,0.076773,0.066268,0.072477,0.073763,0.116658
-1.4861,0,0.049322,0.072619,0.062642,0.069188,0.07259,0.115529
-1.4427,0,0.048982,0.072134,0.062255,0.068847,0.07249,0.115421
-1.3357,0,0.048144,0.070929,0.061332,0.068056,0.072272,0.115189
-1.2121,0,0.047148,0.069534,0.060312,0.067209,0.072063,0.114988
-1.1691,0,0.046787,0.069051,0.059969,0.066928,0.072,0.114935
-0.9655,0,0.044927,0.066805,0.058409,0.065666,0.071753,0.114796
-0.7846,0,0.043152,0.064901,0.057104,0.064601,0.07159,0.114801
-0.645,0,0.041804,0.063496,0.056137,0.063783,0.071491,0.114875
-0.5567,0,0.04101,0.062632,0.055542,0.063257,0.071438,0.114953
-0.4098,0,0.039842,0.061228,0.054578,0.06239,0.07136,0.115134
-0.2876,0,0.038992,0.06009,0.053799,0.061713,0.071298,0.115334
0.0524,0,0.036891,0.057036,0.051733,0.060274,0.07122,0.116159
0.0862,0,0.036687,0.05674,0.051536,0.060173,0.071225,0.116265
0.1142,0,0.036518,0.056496,0.051373,0.060095,0.07123,0.116356
0.1634,0,0.03622,0.056071,0.051091,0.05997,0.071243,0.116524
0.1937,0,0.036037,0.055809,0.050918,0.059899,0.071253,0.116632
0.6837,0,0.033237,0.05174,0.048318,0.059146,0.071605,0.118813
0.8604,0,0.032363,0.05035,0.047472,0.058947,0.071833,0.119763
1.0425,0,0.031579,0.04897,0.046646,0.058731,0.072129,0.120821
1.1653,0,0.031112,0.048074,0.046115,0.058567,0.072365,0.121579
1.2067,0,0.030965,0.047779,0.045939,0.05851,0.072451,0.121842
1.2411,0,0.030846,0.047538,0.045795,0.058462,0.072526,0.122065
1.5848,0,0.029829,0.045295,0.044421,0.05803,0.073382,0.124455
1.987,0,0.029146,0.043145,0.042963,0.05793,0.074636,0.127666
2.0255,0,0.029108,0.04297,0.042833,0.057963,0.074771,0.127998
2.0904,0,0.029045,0.042687,0.042618,0.058041,0.075008,0.12857
2.1186,0,0.029018,0.04257,0.042527,0.058084,0.075114,0.128823
2.3125,0,0.028842,0.041843,0.041931,0.058503,0.075906,0.130618
2.4085,0,0.028764,0.041537,0.041663,0.058782,0.076356,0.131541
2.8705,0,0.028511,0.040512,0.040929,0.060473,0.079402,0.136253
2.9273,0,0.028499,0.040428,0.040938,0.06069,0.079852,0.136856
3.0922,0,0.028493,0.040225,0.041099,0.061304,0.081176,0.13863
3.1499,0,0.028504,0.040166,0.041197,0.061519,0.081641,0.139259
3.2922,0,0.028561,0.040044,0.041507,0.062061,0.082783,0.140819
3.4609,0,0.028679,0.039934,0.041963,0.062747,0.084138,0.142686
3.6674,0,0.028885,0.039836,0.042607,0.063681,0.085806,0.144991
3.9944,0,0.029296,0.039767,0.04375,0.065425,0.088488,0.148698
4.1013,0,0.029438,0.039786,0.044148,0.06607,0.089378,0.14993
4.5158,0,0.029991,0.040158,0.045783,0.068847,0.092923,0.154829
4.6058,0,0.030122,0.040312,0.046155,0.069496,0.093717,0.155925
4.7191,0,0.030297,0.040547,0.046636,0.070333,0.094733,0.157325
4.9813,0,0.030768,0.041243,0.047823,0.072348,0.097167,0.160669
5.1005,0,0.031027,0.041619,0.048405,0.073295,0.098314,0.162246
5.3937,0,0.031822,0.04267,0.049968,0.075705,0.101256,0.166304
5.6985,0,0.032876,0.043918,0.051778,0.078329,0.104495,0.170817
5.71,0,0.03292,0.043968,0.051849,0.07843,0.104621,0.170994
5.9232,0,0.033769,0.044917,0.053208,0.080355,0.106992,0.174349
6.2379,0,0.035123,0.046425,0.055314,0.083345,0.110616,0.179587
6.2552,0,0.035201,0.046511,0.055432,0.083515,0.110818,0.179885
6.6552,0,0.037116,0.048633,0.058255,0.087609,0.115596,0.186979
6.7883,0,0.037794,0.04939,0.059229,0.089041,0.117222,0.189408
6.9036,0,0.038395,0.050067,0.060086,0.090308,0.118644,0.191526
7.2215,0,0.040119,0.052039,0.062525,0.093909,0.122632,0.197382
7.4368,0,0.041363,0.053457,0.064257,0.09642,0.125392,0.201303
7.4379,0,0.04137,0.053465,0.064266,0.096434,0.125406,0.201323
7.9144,0,0.044568,0.05684,0.068432,0.10215,0.131711,0.209743
7.9859,0,0.045063,0.057374,0.069102,0.103023,0.132684,0.210995
8.1217,0,0.045991,0.058409,0.070406,0.104689,0.134555,0.213378
8.2566,0,0.046909,0.059464,0.071738,0.106355,0.136445,0.215762
8.5937,0,0.049248,0.062253,0.075199,0.11056,0.141336,0.221833
8.5962,0,0.049265,0.062274,0.075224,0.11059,0.141372,0.221877
8.8834,0,0.051376,0.064877,0.078283,0.114238,0.145784,0.22719
9.2557,0,0.054392,0.068658,0.08238,0.119076,0.15201,0.234226
9.2779,0,0.054581,0.0689,0.082629,0.119368,0.152407,0.23465
9.4397,0,0.055993,0.070727,0.084463,0.121511,0.15541,0.237755
9.6027,0,0.057452,0.072654,0.086344,0.12369,0.158602,0.240908
9.9574,0,0.060812,0.07704,0.090574,0.128512,0.165716,0.247861
10.129,0,0.062581,0.079192,0.092705,0.130891,0.169009,0.251274
10.1955,0,0.063273,0.08002,0.093549,0.131823,0.17024,0.252607
10.3292,0,0.064668,0.081656,0.095282,0.133712,0.172645,0.255302
10.358,0,0.06497,0.082002,0.095663,0.134122,0.173155,0.255886
10.5583,0,0.06707,0.084327,0.098388,0.137007,0.176643,0.25997
10.7641,0,0.069258,0.086605,0.101334,0.140038,0.180195,0.264207
10.9792,0,0.071648,0.088943,0.104561,0.14329,0.183942,0.268667
11.1386,0,0.073444,0.090712,0.107031,0.14575,0.18678,0.271981
11.4865,0,0.077437,0.09485,0.11252,0.151266,0.193329,0.279217
11.5352,0,0.078009,0.095466,0.113283,0.152053,0.194305,0.280228
11.6331,0,0.079169,0.096734,0.114797,0.153643,0.196317,0.282256
11.7726,0,0.080867,0.098617,0.116904,0.155929,0.199298,0.285141
11.9497,0,0.083168,0.101157,0.119506,0.158862,0.203254,0.288802
12.0744,0,0.084924,0.10306,0.121302,0.160945,0.20613,0.291385
12.2006,0,0.086727,0.105063,0.123098,0.163066,0.209086,0.294003
12.5511,0,0.091051,0.110802,0.128056,0.169027,0.217274,0.301335
12.5855,0,0.091486,0.111358,0.128546,0.169619,0.218056,0.302062
12.6762,0,0.092657,0.112794,0.129846,0.171181,0.220085,0.303983
12.7096,0,0.093094,0.113309,0.130329,0.171759,0.220822,0.304694
13.0566,0,0.097689,0.118336,0.135563,0.177842,0.228297,0.312218
13.0775,0,0.097963,0.118636,0.135892,0.178212,0.228741,0.312681
13.2296,0,0.099957,0.120904,0.138354,0.180945,0.231991,0.316105
13.2585,0,0.100337,0.121355,0.138834,0.181472,0.232614,0.316767
13.5949,0,0.104865,0.126959,0.144631,0.187762,0.240125,0.324681
13.7006,0,0.106393,0.128786,0.146519,0.189791,0.242657,0.32724
13.7193,0,0.106674,0.129109,0.146855,0.190151,0.243116,0.327695
13.9087,0,0.109828,0.132364,0.1503,0.193803,0.247934,0.332323
14.0803,0,0.113042,0.135225,0.153464,0.197094,0.252521,0.336484
14.0804,0,0.113044,0.135227,0.153466,0.197096,0.252524,0.336486
14.0999,0,0.113399,0.135549,0.153827,0.197468,0.253054,0.336953
14.3983,0,0.118494,0.140804,0.159419,0.203134,0.261267,0.343984
14.4159,0,0.118793,0.141152,0.159751,0.203466,0.261748,0.344392
14.5077,0,0.120386,0.143059,0.161491,0.205199,0.264238,0.346515
14.8811,0,0.127541,0.150803,0.168666,0.212215,0.274211,0.355074
14.9499,0,0.128918,0.151983,0.170007,0.213503,0.276049,0.356647
15.0596,0,0.131116,0.153725,0.172162,0.215551,0.278995,0.359156
15.1034,0,0.131994,0.154397,0.17303,0.216369,0.28018,0.36016
15.1465,0,0.132858,0.155051,0.173888,0.217172,0.28135,0.361148
15.3605,0,0.13715,0.158382,0.178203,0.221147,0.287238,0.366075
15.4755,0,0.139456,0.160324,0.180555,0.223273,0.29045,0.368741
15.5475,0,0.140898,0.161617,0.182032,0.224601,0.292475,0.370416
15.9743,0,0.149701,0.170031,0.190642,0.232567,0.304734,0.380533
15.9782,0,0.149788,0.17011,0.190718,0.232641,0.304848,0.380627
16.0071,0,0.150443,0.170699,0.19128,0.233197,0.305695,0.381327
