x,Flaps 0,Flaps 1,Flaps 5,Flaps 10,Flaps 20,Flaps 25,Flaps 30
-4.9311,-0.55205,-0.4771,-0.44283,-0.39751,-0.25383,-0.03327,0.20304
-4.9241,-0.55128,-0.47659,-0.44211,-0.39682,-0.253,-0.03228,0.20407
-4.9155,-0.55034,-0.47596,-0.44124,-0.39597,-0.25198,-0.03108,0.20534
-4.9039,-0.54908,-0.47513,-0.44006,-0.39484,-0.25062,-0.02946,0.20703
-4.8897,-0.54753,-0.4741,-0.4386,-0.39343,-0.24893,-0.02746,0.20913
-4.867,-0.54506,-0.47247,-0.43629,-0.3912,-0.24626,-0.02428,0.21245
-4.8543,-0.54369,-0.47156,-0.435,-0.38995,-0.24476,-0.02251,0.21431
-4.4991,-0.50705,-0.44393,-0.39885,-0.35478,-0.20236,0.02723,0.26673
-4.3294,-0.49126,-0.42776,-0.38178,-0.33768,-0.18151,0.05095,0.29211
-4.2587,-0.48498,-0.42067,-0.37474,-0.33047,-0.17263,0.06083,0.30278
-4.1011,-0.47144,-0.40496,-0.35917,-0.31413,-0.15234,0.08282,0.3268
-3.974,-0.46077,-0.39269,-0.3466,-0.30061,-0.13531,0.10054,0.34646
-3.9586,-0.45949,-0.39124,-0.34507,-0.29895,-0.1332,0.10268,0.34885
-3.9493,-0.45872,-0.39035,-0.34415,-0.29794,-0.13192,0.10398,0.35031
-3.905,-0.45503,-0.38619,-0.33973,-0.29312,-0.12578,0.11015,0.35724
-3.8679,-0.45196,-0.38273,-0.33602,-0.28904,-0.12058,0.1153,0.36306
-3.5193,-0.42267,-0.35141,-0.30125,-0.24933,-0.07071,0.1631,0.41806
-3.3278,-0.40551,-0.33495,-0.28292,-0.22694,-0.04441,0.18845,0.44786
-3.263,-0.3992,-0.32942,-0.27694,-0.21937,-0.03606,0.19684,0.45775
-3.1527,-0.38751,-0.31994,-0.26706,-0.20655,-0.02275,0.21085,0.47428
-3.0173,-0.37159,-0.30809,-0.25534,-0.19104,-0.00819,0.22757,0.49385
-2.9668,-0.3657,-0.30356,-0.25105,-0.18533,-0.00314,0.23366,0.50088
-2.8739,-0.35607,-0.29499,-0.24323,-0.17494,0.00584,0.24464,0.51338
-2.8546,-0.35429,-0.29316,-0.2416,-0.17279,0.00767,0.24688,0.51591
-2.7534,-0.34577,-0.28325,-0.2331,-0.16163,0.01729,0.25843,0.52878
-2.6805,-0.34001,-0.27584,-0.22689,-0.15366,0.02436,0.26653,0.53771
-2.3737,-0.31429,-0.24457,-0.19852,-0.12054,0.05869,0.2991,0.57323
-2.3482,-0.31169,-0.24208,-0.19605,-0.11781,0.06206,0.30174,0.57613
-2.2673,-0.30243,-0.23441,-0.18827,-0.10917,0.07325,0.31006,0.58537
-2.2185,-0.29611,-0.2299,-0.18358,-0.10395,0.08034,0.31508,0.59104
-2.1682,-0.28921,-0.22533,-0.17876,-0.09858,0.08784,0.32024,0.59699
-2.0276,-0.27012,-0.2129,-0.16535,-0.08359,0.10935,0.33471,0.61426
-1.921,-0.25776,-0.2037,-0.15521,-0.0722,0.12578,0.34582,0.62788
-1.4324,-0.21531,-0.16231,-0.10887,-0.02011,0.19503,0.40076,0.69229
-1.4315,-0.21524,-0.16224,-0.10879,-0.02002,0.19514,0.40087,0.6924
-1.4301,-0.21512,-0.16212,-0.10865,-0.01987,0.19532,0.40104,0.69258
-1.4117,-0.21357,-0.16055,-0.10691,-0.01792,0.19764,0.40333,0.69499
-1.4109,-0.2135,-0.16048,-0.10683,-0.01784,0.19774,0.40343,0.69509
-1.2816,-0.20216,-0.14939,-0.0946,-0.00419,0.21344,0.42007,0.71174
-1.0557,-0.17934,-0.12957,-0.07367,0.01937,0.23908,0.45113,0.74012
-1.0437,-0.17805,-0.1285,-0.07257,0.02061,0.24039,0.45283,0.7416
-0.7472,-0.14746,-0.10117,-0.04534,0.05095,0.27191,0.49556,0.77743
-0.7354,-0.14641,-0.10005,-0.04426,0.05214,0.27314,0.49725,0.77881
-0.5926,-0.13458,-0.08616,-0.03108,0.06666,0.2879,0.51756,0.79535
-0.3704,-0.11772,-0.06385,-0.01036,0.08935,0.31088,0.5476,0.81993
-0.2783,-0.11053,-0.05446,-0.00161,0.09883,0.32062,0.55926,0.82988
-0.1727,-0.10177,-0.04369,0.00858,0.10974,0.33219,0.57195,0.84133
-0.1534,-0.10009,-0.04172,0.01046,0.11175,0.33438,0.5742,0.84344
-0.1103,-0.09623,-0.03733,0.01461,0.11622,0.33939,0.57915,0.84817
0.0481,-0.08102,-0.02124,0.02948,0.13278,0.35961,0.59665,0.86594
0.0676,-0.07907,-0.01927,0.03126,0.13483,0.36231,0.59873,0.86816
0.1075,-0.07501,-0.01521,0.0349,0.13903,0.36801,0.60297,0.87276
0.3965,-0.04472,0.01415,0.06095,0.16962,0.40672,0.63241,0.90682
0.538,-0.02989,0.02864,0.07383,0.18467,0.42172,0.64637,0.92375
0.6786,-0.01548,0.04318,0.08688,0.19964,0.43568,0.66021,0.9406
0.7768,-0.00559,0.05347,0.09625,0.21009,0.44525,0.66996,0.95236
0.9234,0.00891,0.06916,0.11091,0.2257,0.45952,0.68491,0.96985
1.1461,0.03041,0.09384,0.13412,0.24934,0.48163,0.70905,0.99606
1.2396,0.03924,0.10447,0.14372,0.25923,0.49119,0.71968,1.00686
1.3302,0.04768,0.11486,0.15278,0.2688,0.50069,0.73018,1.01719
1.3812,0.05238,0.1207,0.15778,0.27417,0.50614,0.73615,1.02293
1.4305,0.05689,0.12632,0.16254,0.27935,0.5115,0.74194,1.02844
1.6375,0.07557,0.14935,0.18208,0.30095,0.53486,0.76612,1.05114
1.8193,0.09199,0.1684,0.19897,0.3197,0.55631,0.78668,1.07056
