x,Flaps Up,Flaps 1,Flaps 5,Flaps 10,Flaps 20,Flaps 25,Flaps 30
-5,0.26730189,0.259356856,0.228559508,0.273892117,0.194357409,0.143863704,0.116543691
-4.899665552,0.264910221,0.256881675,0.226180188,0.271378806,0.191583053,0.141926452,0.113835779
-4.799331104,0.262509965,0.254396751,0.223799145,0.268862422,0.188807267,0.139976282,0.111131017
-4.698996656,0.260109708,0.251911826,0.221418102,0.266346037,0.186031481,0.138026112,0.108426255
-4.598662207,0.257709451,0.249426902,0.21903706,0.263829653,0.183255694,0.136075943,0.105721493
-4.498327759,0.255309194,0.246941977,0.216656017,0.261313268,0.180479908,0.134125773,0.103016731
-4.397993311,0.252789542,0.244337904,0.214250758,0.258752072,0.177704122,0.132175604,0.100311969
-4.297658863,0.250268775,0.241732718,0.211845272,0.256190457,0.174906584,0.130110475,0.097618097
-4.197324415,0.247748008,0.239127532,0.209439787,0.253628842,0.172099869,0.127947845,0.094926324
-4.096989967,0.245164674,0.236451412,0.207016702,0.251035505,0.169291611,0.125756992,0.092234302
-3.996655518,0.242540286,0.233718561,0.204582058,0.248419317,0.166557106,0.123402619,0.089513856
-3.89632107,0.239864273,0.23089114,0.202123182,0.245743727,0.163850993,0.120985293,0.086782469
-3.795986622,0.237170024,0.228037694,0.199653612,0.243043784,0.16114488,0.118567968,0.084051082
-3.695652174,0.234475775,0.225184248,0.197184042,0.240343841,0.158438768,0.116150642,0.081319694
-3.595317726,0.231781525,0.222330801,0.194714471,0.237643897,0.155732655,0.113733317,0.078588307
-3.494983278,0.229077355,0.219523801,0.192232465,0.234909673,0.153026543,0.111315992,0.07585692
-3.394648829,0.226358776,0.216784248,0.1897324,0.232125666,0.150368141,0.108876791,0.073105422
-3.294314381,0.223640198,0.214044695,0.187232335,0.229341659,0.147881451,0.106416525,0.0702871
-3.193979933,0.220924987,0.211305653,0.18472953,0.226548557,0.145410096,0.10396248,0.06746359
-3.093645485,0.218222179,0.208568493,0.182216631,0.223721952,0.142938741,0.101508434,0.064640079
-2.993311037,0.21553056,0.205795071,0.179698649,0.220880137,0.140474909,0.099111534,0.061853644
-2.892976589,0.212874424,0.202988815,0.177180612,0.21801436,0.138019825,0.096781088,0.059110322
-2.79264214,0.210218288,0.200182558,0.174662575,0.215148583,0.135564742,0.094450643,0.056367
-2.692307692,0.207562152,0.197376301,0.172144538,0.212282806,0.133109658,0.092120197,0.053623679
-2.591973244,0.204962459,0.194787225,0.169647799,0.209419874,0.130654575,0.089789751,0.050880357
-2.491638796,0.202386282,0.192288631,0.167159934,0.206558128,0.128088578,0.087525743,0.048264631
-2.391304348,0.199810105,0.189790036,0.164672069,0.203696381,0.125497717,0.085276628,0.045677508
-2.2909699,0.197238304,0.187289528,0.162187183,0.200837015,0.122677763,0.083070124,0.043123285
-2.190635452,0.194723701,0.184764002,0.159741238,0.19800877,0.119844256,0.080866141,0.040571009
-2.090301003,0.192223409,0.182195991,0.157318682,0.19519575,0.117010749,0.078662158,0.038018732
-1.989966555,0.189726028,0.179595451,0.154913502,0.1923913,0.114177242,0.076458175,0.035466456
-1.889632107,0.18721111,0.176868423,0.1525581,0.18960087,0.111328899,0.074260993,0.032874456
-1.789297659,0.184696193,0.174141396,0.150202697,0.18681044,0.108449263,0.072078159,0.030198663
-1.688963211,0.182181275,0.171414368,0.147847294,0.18402001,0.105569627,0.069895324,0.027522871
-1.588628763,0.179666357,0.16868734,0.145491892,0.181229579,0.102702777,0.067711596,0.02483002
-1.488294314,0.17715144,0.165960312,0.143136489,0.178439149,0.099977634,0.065507466,0.021959864
-1.387959866,0.174636522,0.163233284,0.140781086,0.175648719,0.09741175,0.06324642,0.018928559
-1.287625418,0.172107095,0.160491474,0.138420889,0.172853474,0.094845867,0.060985375,0.015897254
-1.18729097,0.169486548,0.157660819,0.136018042,0.170023633,0.092279983,0.05872433,0.01286595
-1.086956522,0.166841535,0.154812556,0.133584114,0.167177674,0.0897141,0.056463284,0.009834645
-0.986622074,0.164199436,0.151960784,0.131134686,0.164340438,0.087148216,0.054202239,0.00680334
-0.886287625,0.16159987,0.149076501,0.128552348,0.161603043,0.084582333,0.051941194,0.003772036
-0.785953177,0.159000304,0.146192219,0.125970011,0.158865648,0.08204327,0.04962123,0.000764108
-0.685618729,0.156400737,0.143307937,0.123387673,0.156128253,0.079508664,0.047213912,-0.002152576
-0.585284281,0.153801171,0.140423654,0.120805335,0.153390858,0.07696064,0.044787056,-0.00502575
-0.484949833,0.151201605,0.137539372,0.118222998,0.150653463,0.074364553,0.042342241,-0.0078667
-0.384615385,0.148665601,0.134670477,0.115630366,0.147999631,0.071665596,0.039858986,-0.01063868
-0.284280936,0.146287409,0.131877336,0.113072016,0.145500925,0.068966639,0.037375731,-0.013410661
-0.183946488,0.143929306,0.129098769,0.110525888,0.143015094,0.066267683,0.034892477,-0.016182641
-0.08361204,0.141571203,0.126320201,0.107979759,0.140529264,0.063568726,0.032409222,-0.018954621
0.016722408,0.139261901,0.12361463,0.10549522,0.13805404,0.060869769,0.029925968,-0.021726601
0.117056856,0.136997343,0.121059179,0.103114876,0.135506947,0.058170812,0.027442713,-0.024498582
0.217391304,0.134732785,0.118503729,0.100734532,0.132959855,0.055434843,0.024982271,-0.027326411
0.317725753,0.132468227,0.115948279,0.098354188,0.130412762,0.05270466,0.022552062,-0.030199795
0.418060201,0.130203669,0.113392828,0.095973844,0.12786567,0.049974757,0.020122197,-0.033073024
0.518394649,0.12793403,0.110841445,0.093598387,0.125274385,0.04730555,0.017766839,-0.035912566
0.618729097,0.125634056,0.10831434,0.091252104,0.122419264,0.044636343,0.015411481,-0.038752108
0.719063545,0.123309269,0.105754221,0.088896987,0.119464749,0.041967137,0.013056123,-0.041591649
0.819397993,0.120933997,0.103126933,0.086523894,0.116308008,0.03929793,0.010700765,-0.044431191
0.919732441,0.118558725,0.100499645,0.084150801,0.113151268,0.036628723,0.008345408,-0.047270733
1.02006689,0.116151007,0.097801766,0.081750533,0.109996367,0.033959516,0.00599005,-0.050110274
1.120401338,0.113682054,0.094967769,0.079290057,0.107224847,0.031275757,0.003672862,-0.052832808
1.220735786,0.111196491,0.092099484,0.076812054,0.104618089,0.028583411,0.001378198,-0.055486299
1.321070234,0.108710928,0.0892312,0.074334051,0.10201133,0.025869758,-0.000909206,-0.058118341
1.421404682,0.106225364,0.086362915,0.071856047,0.099404572,0.022963509,-0.003198138,-0.060795182
1.52173913,0.103726291,0.083492235,0.069376426,0.096764666,0.020052104,-0.005487404,-0.063474264
1.622073579,0.101209233,0.080618366,0.066894652,0.094080633,0.017140698,-0.00777667,-0.066153346
1.722408027,0.098693187,0.077791694,0.064437735,0.091342358,0.014229293,-0.010065936,-0.068832427
1.822742475,0.096178558,0.075031092,0.062015616,0.088528152,0.011317888,-0.012355202,-0.071511509
1.923076923,0.09366392,0.072283535,0.059600058,0.08570664,0.008406482,-0.014644468,-0.07419059
2.023411371,0.091144129,0.069689381,0.057262237,0.082808083,0.005520229,-0.016996387,-0.077099015
2.123745819,0.088612714,0.067217434,0.054988601,0.07991646,0.00266494,-0.019411087,-0.080222808
2.224080268,0.0860813,0.064745487,0.052714965,0.077024837,-0.000190349,-0.021825787,-0.083346601
2.324414716,0.083549885,0.062273539,0.050441329,0.074133213,-0.003045638,-0.024240487,-0.086470394
2.424749164,0.08100422,0.059794324,0.048163956,0.07132648,-0.005847416,-0.026764977,-0.089711733
2.525083612,0.078430689,0.057300898,0.045879277,0.068685743,-0.008617818,-0.029353841,-0.093021994
2.62541806,0.075857158,0.054807471,0.043594598,0.066045005,-0.011388221,-0.031942705,-0.096332254
2.725752508,0.07326841,0.052251969,0.041281176,0.063425307,-0.014158624,-0.034531569,-0.099642515
2.826086957,0.070649084,0.049544177,0.038892668,0.060847693,-0.016851255,-0.037152416,-0.102867232
2.926421405,0.06801933,0.046752774,0.036458629,0.05828421,-0.019499517,-0.03979151,-0.106043146
3.026755853,0.065377168,0.043840636,0.033905443,0.05566523,-0.02214778,-0.042430603,-0.109219061
3.127090301,0.062730284,0.040881213,0.031301283,0.053013745,-0.024788804,-0.045066139,-0.112391689
3.227424749,0.0600834,0.03792179,0.028697122,0.05036226,-0.027245466,-0.047611079,-0.1154806
3.327759197,0.057455863,0.034967617,0.026042032,0.047630145,-0.029702127,-0.050156018,-0.118569512
3.428093645,0.054841463,0.032017008,0.023352361,0.044843282,-0.032081711,-0.052625966,-0.121655143
3.528428094,0.052227062,0.029066399,0.02066269,0.042056419,-0.034407944,-0.055044009,-0.124738505
3.628762542,0.049612662,0.026115789,0.017973019,0.039269557,-0.036804436,-0.057363037,-0.127860866
3.72909699,0.047050512,0.023316201,0.01536712,0.036511621,-0.039207575,-0.059672699,-0.130986916
3.829431438,0.044509785,0.020579699,0.012807052,0.033765646,-0.041610715,-0.06198236,-0.134112966
3.929765886,0.041970602,0.01784783,0.010256309,0.031021383,-0.044013854,-0.064292022,-0.137239017
4.030100334,0.039460474,0.015188524,0.007903113,0.028312909,-0.04662407,-0.066627406,-0.140407149
4.130434783,0.036963741,0.012498463,0.005738709,0.025636839,-0.049323597,-0.068973884,-0.143593431
4.230769231,0.034467009,0.009808403,0.003574305,0.022960769,-0.052023124,-0.071320362,-0.146779712
4.331103679,0.031970276,0.007118342,0.001409901,0.020284699,-0.054729367,-0.07367435,-0.14996824
4.431438127,0.029473544,0.004428281,-0.000754503,0.017608629,-0.057544615,-0.076244276,-0.1531944
4.531772575,0.026976811,0.001738221,-0.002918907,0.014932559,-0.060363881,-0.078831107,-0.15642206
4.632107023,0.024468303,-0.001074068,-0.005055365,0.012263287,-0.063183146,-0.081417939,-0.159649719
4.732441472,0.02193815,-0.004022357,-0.007219593,0.009586037,-0.066002412,-0.08400477,-0.162877379
4.83277592,0.019407997,-0.006970646,-0.00938382,0.006908787,-0.068821678,-0.086591602,-0.166105038
4.933110368,0.016861397,-0.009979697,-0.011626027,0.004205277,-0.071640944,-0.089178433,-0.169332698
5.033444816,0.014311907,-0.012960377,-0.013933738,0.001459709,-0.07446021,-0.091765264,-0.172560357
5.133779264,0.011760834,-0.015900295,-0.016310756,-0.001333065,-0.077237705,-0.094401366,-0.175752809
5.234113712,0.009209762,-0.018840213,-0.018687774,-0.004125838,-0.079979656,-0.097015388,-0.178927883
5.334448161,0.006658689,-0.021780131,-0.021064792,-0.006918612,-0.082721607,-0.099629411,-0.182102957
5.434782609,0.004114384,-0.024550709,-0.023497274,-0.009726848,-0.08537029,-0.102176259,-0.185316183
5.535117057,0.001580001,-0.027072988,-0.026011081,-0.012557756,-0.08801454,-0.104719915,-0.188531221
5.635451505,-0.000940421,-0.029387735,-0.028615876,-0.015316226,-0.090658791,-0.107263571,-0.191746259
5.735785953,-0.00345418,-0.031604936,-0.031288392,-0.018024303,-0.093303042,-0.109807227,-0.194961298
5.836120401,-0.005967939,-0.033822137,-0.033960908,-0.020732381,-0.095947292,-0.112350883,-0.198176336
5.936454849,-0.008481277,-0.036161143,-0.036687358,-0.023468926,-0.098587088,-0.1149113,-0.201419838
6.036789298,-0.011003094,-0.038782554,-0.039578247,-0.026296056,-0.1012085,-0.117585249,-0.20481481
6.137123746,-0.013550939,-0.041534783,-0.042649722,-0.029227545,-0.103829913,-0.120259198,-0.208209782
6.237458194,-0.016098783,-0.044287013,-0.045721198,-0.032159034,-0.106451325,-0.122933146,-0.211604754
6.337792642,-0.018646628,-0.047039243,-0.048792674,-0.035090522,-0.109073651,-0.125614509,-0.215000787
6.43812709,-0.021194473,-0.049791472,-0.051864149,-0.038022011,-0.111730422,-0.128575401,-0.218436814
6.538461538,-0.023770997,-0.052448033,-0.054991114,-0.040921578,-0.114387193,-0.131536292,-0.22187284
6.638795987,-0.026426043,-0.054865254,-0.058093478,-0.043753261,-0.117043963,-0.134497183,-0.225308867
6.739130435,-0.029105104,-0.057218263,-0.061148104,-0.04657971,-0.119728592,-0.137494416,-0.228718008
6.839464883,-0.031784164,-0.059571273,-0.064202731,-0.049406159,-0.122445303,-0.140533503,-0.232096187
6.939799331,-0.034467317,-0.061920945,-0.067215793,-0.052253094,-0.125162014,-0.14357259,-0.235474365
7.040133779,-0.037170951,-0.064290752,-0.069933415,-0.05522474,-0.127958805,-0.146463696,-0.238861886
7.140468227,-0.039813059,-0.06676379,-0.072397953,-0.058196894,-0.130759619,-0.149347365,-0.242249876
7.240802676,-0.042447,-0.069249024,-0.074832393,-0.061168238,-0.133582132,-0.152150351,-0.245671191
7.341137124,-0.045080942,-0.071734258,-0.077266832,-0.064139581,-0.136453172,-0.154772901,-0.249167031
7.441471572,-0.047714883,-0.074219491,-0.079701272,-0.067110925,-0.139325111,-0.157383883,-0.252676606
7.54180602,-0.050319032,-0.07667316,-0.082154263,-0.070059065,-0.142208719,-0.159844592,-0.256364613
7.642140468,-0.052836687,-0.079035191,-0.084661111,-0.072939844,-0.145092327,-0.1623053,-0.260052619
7.742474916,-0.055354343,-0.081397223,-0.087167959,-0.075820623,-0.147975935,-0.164766009,-0.263740626
7.842809365,-0.057836938,-0.083645974,-0.089863409,-0.078628569,-0.150836748,-0.167242122,-0.267389486
7.943143813,-0.060283108,-0.08578153,-0.092847859,-0.081353698,-0.153672114,-0.169735431,-0.270994645
8.043478261,-0.062717715,-0.087879277,-0.095933775,-0.08405141,-0.156507481,-0.172228741,-0.274599804
8.143812709,-0.065152321,-0.089977025,-0.09901969,-0.086749121,-0.15933257,-0.17477395,-0.278110163
8.244147157,-0.067586928,-0.092074772,-0.102105606,-0.089446833,-0.162132748,-0.177559359,-0.281305545
8.344481605,-0.070021535,-0.09417252,-0.105191521,-0.092144544,-0.164932927,-0.180344768,-0.284500926
8.444816054,-0.072456141,-0.096270267,-0.108277436,-0.094842256,-0.167733105,-0.183130177,-0.287696307
8.545150502,-0.074890748,-0.098368014,-0.111363352,-0.097539968,-0.170533283,-0.185915586,-0.290891688
8.64548495,-0.07732236,-0.100440065,-0.114535718,-0.10026947,-0.173333462,-0.188700995,-0.294087069
8.745819398,-0.079216477,-0.102512481,-0.117698268,-0.103131344,-0.17613364,-0.191486404,-0.29728245
8.846153846,-0.081110593,-0.104584898,-0.120860819,-0.105993218,-0.178935913,-0.194365667,-0.300458172
8.946488294,-0.082916876,-0.106655818,-0.123980938,-0.108894386,-0.181732133,-0.197244258,-0.303663178
9.046822742,-0.084482015,-0.108722629,-0.126984565,-0.111903434,-0.184528353,-0.200122849,-0.306868185
9.147157191,-0.08604306,-0.11077371,-0.129945818,-0.114917679,-0.187226867,-0.202948033,-0.310029859
9.247491639,-0.087590985,-0.112774369,-0.132771232,-0.117948587,-0.189912636,-0.20576625,-0.313185881
9.347826087,-0.089132889,-0.114758028,-0.135578523,-0.120978715,-0.192598406,-0.208584468,-0.316341903
9.448160535,-0.090607384,-0.116551339,-0.13818289,-0.124000125,-0.195284175,-0.211402686,-0.319497924
