x,Up,Flaps 1,Flaps 5,Flaps 10,Flaps 20,Flaps 25,Flaps 30
-0.0144,-0.0062774,-0.0049505,-0.0054729,-0.0054196,-0.0080173,-0.0091561,-0.0099812
-0.0105,-0.0062785,-0.0049508,-0.0054738,-0.0054195,-0.00802,-0.0091582,-0.0099841
-0.0087,-0.0062791,-0.0049509,-0.0054742,-0.0054194,-0.0080213,-0.0091591,-0.0099854
0.0015,-0.0062821,-0.0049517,-0.0054767,-0.0054189,-0.0080285,-0.0091645,-0.009993
0.0042,-0.0062829,-0.0049519,-0.0054773,-0.0054188,-0.0080303,-0.0091659,-0.0099949
0.008,-0.006284,-0.0049522,-0.0054782,-0.0054187,-0.008033,-0.0091679,-0.0099977
0.0113,-0.006285,-0.0049525,-0.005479,-0.0054185,-0.0080354,-0.0091697,-0.0100002
0.4831,-0.0064114,-0.0049852,-0.0055385,-0.0054283,-0.0083128,-0.0094413,-0.0103432
0.4835,-0.0064115,-0.0049852,-0.0055385,-0.0054283,-0.008313,-0.0094415,-0.0103435
0.4889,-0.0064127,-0.0049855,-0.0055381,-0.0054291,-0.0083149,-0.0094451,-0.0103473
0.4971,-0.0064144,-0.0049859,-0.0055374,-0.0054303,-0.0083177,-0.0094506,-0.0103531
0.4982,-0.0064146,-0.0049859,-0.0055373,-0.0054304,-0.008318,-0.0094513,-0.0103538
0.5043,-0.0064159,-0.0049862,-0.0055367,-0.0054313,-0.00832,-0.0094554,-0.0103581
0.5058,-0.0064163,-0.0049863,-0.0055365,-0.0054316,-0.0083205,-0.0094565,-0.0103592
0.9958,-0.0065037,-0.0050222,-0.0054876,-0.005517,-0.0084116,-0.0098298,-0.0107238
0.9965,-0.0065038,-0.0050223,-0.0054877,-0.0055171,-0.0084118,-0.0098304,-0.0107244
0.9977,-0.006504,-0.0050224,-0.0054878,-0.0055171,-0.0084122,-0.0098313,-0.0107254
0.9991,-0.0065043,-0.0050226,-0.005488,-0.0055172,-0.0084126,-0.0098325,-0.0107266
1.0031,-0.006505,-0.0050233,-0.0054886,-0.0055175,-0.0084138,-0.0098357,-0.01073
1.0085,-0.006506,-0.0050241,-0.0054895,-0.0055179,-0.0084154,-0.0098401,-0.0107346
1.0126,-0.0065068,-0.0050247,-0.0054901,-0.0055182,-0.0084167,-0.0098434,-0.0107381
1.5059,-0.0065995,-0.0051115,-0.0056884,-0.0055243,-0.0086674,-0.0102383,-0.0111842
1.506,-0.0065995,-0.0051115,-0.0056884,-0.0055244,-0.0086674,-0.0102383,-0.0111843
1.5098,-0.0066001,-0.0051119,-0.0056897,-0.0055249,-0.0086697,-0.0102413,-0.0111875
1.5102,-0.0066002,-0.0051119,-0.0056898,-0.0055249,-0.0086699,-0.0102416,-0.0111878
1.5116,-0.0066004,-0.005112,-0.0056903,-0.0055252,-0.0086707,-0.0102427,-0.011189
1.5122,-0.0066005,-0.0051121,-0.0056905,-0.0055252,-0.0086711,-0.0102431,-0.0111895
1.5259,-0.0066025,-0.0051133,-0.0056947,-0.0055274,-0.0086791,-0.0102536,-0.011201
1.991,-0.0066822,-0.0050946,-0.005754,-0.0056683,-0.0089162,-0.0106114,-0.0115511
1.9989,-0.0066845,-0.0050937,-0.0057552,-0.0056706,-0.0089193,-0.0106177,-0.0115573
2.0041,-0.006686,-0.0050932,-0.0057561,-0.0056721,-0.0089213,-0.010622,-0.0115614
2.0099,-0.0066877,-0.0050926,-0.0057571,-0.0056737,-0.0089235,-0.0106267,-0.0115659
2.0136,-0.0066888,-0.0050922,-0.0057578,-0.0056747,-0.0089249,-0.0106298,-0.0115688
2.0158,-0.0066895,-0.0050919,-0.0057582,-0.0056753,-0.0089258,-0.0106316,-0.0115706
2.0187,-0.0066904,-0.0050916,-0.0057587,-0.0056761,-0.0089268,-0.010634,-0.0115729
2.4747,-0.006891,-0.0050755,-0.0058762,-0.0057627,-0.0090826,-0.0110391,-0.0119979
2.4829,-0.0068946,-0.0050762,-0.0058776,-0.0057644,-0.0090862,-0.0110466,-0.0120068
2.4837,-0.006895,-0.0050762,-0.0058777,-0.0057646,-0.0090865,-0.0110474,-0.0120076
2.4853,-0.0068957,-0.0050764,-0.005878,-0.0057649,-0.0090872,-0.0110488,-0.0120094
2.4927,-0.0068989,-0.0050771,-0.0058792,-0.0057665,-0.0090905,-0.0110556,-0.0120173
2.508,-0.0069055,-0.0050785,-0.0058816,-0.0057699,-0.0090975,-0.0110696,-0.012034
2.5183,-0.0069099,-0.0050796,-0.0058831,-0.0057722,-0.0091023,-0.0110789,-0.0120453
2.9899,-0.0070635,-0.0051593,-0.0059337,-0.0059048,-0.0093832,-0.0115507,-0.0125882
2.9975,-0.0070653,-0.0051605,-0.0059352,-0.005907,-0.0093875,-0.0115596,-0.0125963
3.0039,-0.0070669,-0.0051615,-0.0059365,-0.0059088,-0.0093912,-0.0115673,-0.0126031
3.0054,-0.0070672,-0.0051618,-0.0059368,-0.0059093,-0.0093921,-0.0115691,-0.0126047
3.0055,-0.0070673,-0.0051618,-0.0059368,-0.0059093,-0.0093921,-0.0115692,-0.0126048
3.0067,-0.0070675,-0.005162,-0.005937,-0.0059096,-0.0093928,-0.0115705,-0.012606
3.0194,-0.0070705,-0.0051639,-0.0059397,-0.0059133,-0.0094,-0.0115858,-0.0126194
3.4994,-0.0071806,-0.0052241,-0.0061042,-0.0060519,-0.0096663,-0.0121707,-0.0130911
3.5026,-0.0071815,-0.0052247,-0.0061053,-0.006053,-0.0096684,-0.0121739,-0.0130944
3.509,-0.0071835,-0.005226,-0.0061077,-0.0060552,-0.0096726,-0.0121801,-0.0131011
3.5129,-0.0071847,-0.0052268,-0.0061091,-0.0060565,-0.0096753,-0.012184,-0.0131052
3.5147,-0.0071853,-0.0052271,-0.0061097,-0.0060571,-0.0096765,-0.0121857,-0.0131071
3.517,-0.007186,-0.0052276,-0.0061106,-0.0060579,-0.009678,-0.0121879,-0.0131095
3.5171,-0.007186,-0.0052276,-0.0061106,-0.0060579,-0.0096781,-0.0121881,-0.0131097
3.9905,-0.007383,-0.0053729,-0.0062826,-0.0062307,-0.0100281,-0.0125978,-0.0136789
3.9962,-0.0073855,-0.0053748,-0.0062852,-0.0062325,-0.0100318,-0.012604,-0.0136861
3.9982,-0.0073864,-0.0053755,-0.0062862,-0.0062331,-0.0100331,-0.0126062,-0.0136886
3.9986,-0.0073866,-0.0053756,-0.0062864,-0.0062332,-0.0100333,-0.0126066,-0.0136891
4,-0.0073872,-0.0053761,-0.0062871,-0.0062337,-0.0100343,-0.0126082,-0.013691
4.0054,-0.0073897,-0.0053778,-0.0062896,-0.0062353,-0.0100377,-0.0126141,-0.0136978
4.0127,-0.0073929,-0.0053802,-0.0062932,-0.0062376,-0.0100424,-0.0126223,-0.013707
4.4945,-0.007608,-0.0055175,-0.0065143,-0.0063743,-0.010308,-0.0132845,-0.0143113
4.4995,-0.0076104,-0.0055188,-0.0065155,-0.006376,-0.0103111,-0.0132907,-0.0143177
4.5015,-0.0076114,-0.0055194,-0.006516,-0.0063767,-0.0103123,-0.0132932,-0.0143202
4.5076,-0.0076144,-0.0055209,-0.0065173,-0.0063788,-0.0103161,-0.0133006,-0.014328
4.5077,-0.0076145,-0.005521,-0.0065174,-0.0063788,-0.0103162,-0.0133007,-0.0143282
4.5094,-0.0076153,-0.0055214,-0.0065177,-0.0063794,-0.0103173,-0.0133027,-0.0143303
4.5162,-0.0076186,-0.0055232,-0.0065192,-0.0063818,-0.0103216,-0.013311,-0.014339
4.9922,-0.0078675,-0.0056386,-0.0065701,-0.0065781,-0.0106816,-0.0138012,-0.0149992
4.9955,-0.0078691,-0.0056393,-0.0065709,-0.0065794,-0.0106841,-0.0138049,-0.0150042
5,-0.0078713,-0.0056403,-0.0065721,-0.0065812,-0.0106875,-0.0138102,-0.0150112
5.0022,-0.0078724,-0.0056408,-0.0065727,-0.0065821,-0.0106892,-0.0138128,-0.0150147
5.0119,-0.0078771,-0.0056429,-0.0065753,-0.0065859,-0.0106964,-0.0138242,-0.0150298
5.0143,-0.0078783,-0.0056434,-0.006576,-0.0065869,-0.0106982,-0.0138271,-0.0150336
5.0161,-0.0078791,-0.0056438,-0.0065765,-0.0065876,-0.0106996,-0.0138293,-0.0150364
5.4684,-0.0080695,-0.0057564,-0.0068092,-0.0067249,-0.0109829,-0.0144606,-0.0157643
5.4736,-0.0080715,-0.0057581,-0.0068114,-0.006726,-0.0109855,-0.0144676,-0.015772
5.4813,-0.0080745,-0.0057607,-0.0068147,-0.0067276,-0.0109894,-0.0144777,-0.0157832
5.4839,-0.0080754,-0.0057616,-0.0068158,-0.0067281,-0.0109907,-0.014481,-0.0157869
5.494,-0.0080794,-0.0057651,-0.0068199,-0.00673,-0.0109958,-0.0144942,-0.0158015
5.4952,-0.0080798,-0.0057655,-0.0068203,-0.0067303,-0.0109963,-0.0144956,-0.0158031
5.5053,-0.0080837,-0.0057691,-0.0068243,-0.0067322,-0.0110013,-0.0145086,-0.0158175
5.9662,-0.0082728,-0.0059334,-0.006983,-0.0069005,-0.0112533,-0.0150519,-0.0164183
5.9665,-0.0082729,-0.0059334,-0.0069831,-0.0069007,-0.0112535,-0.0150523,-0.0164187
5.9739,-0.0082763,-0.0059352,-0.006987,-0.0069062,-0.0112594,-0.0150623,-0.0164298
5.9765,-0.0082775,-0.0059358,-0.0069884,-0.0069082,-0.0112615,-0.0150659,-0.0164337
5.9773,-0.0082778,-0.005936,-0.0069889,-0.0069088,-0.0112621,-0.015067,-0.0164349
5.9892,-0.0082833,-0.0059387,-0.0069954,-0.006918,-0.0112719,-0.0150834,-0.0164529
5.998,-0.0082874,-0.0059406,-0.0070003,-0.0069251,-0.0112794,-0.0150958,-0.0164665
6.4364,-0.0084852,-0.0060109,-0.0073105,-0.0073349,-0.0117621,-0.0157871,-0.0172057
6.4777,-0.0085002,-0.0060218,-0.0073378,-0.0073649,-0.0118012,-0.0158487,-0.01727
6.4883,-0.0085039,-0.0060249,-0.0073445,-0.0073719,-0.0118108,-0.0158641,-0.0172861
6.4914,-0.008505,-0.0060259,-0.0073464,-0.0073739,-0.0118135,-0.0158685,-0.0172907
6.4929,-0.0085055,-0.0060263,-0.0073474,-0.0073748,-0.0118149,-0.0158707,-0.017293
6.493,-0.0085055,-0.0060264,-0.0073474,-0.0073749,-0.011815,-0.0158708,-0.0172931
6.5061,-0.0085099,-0.0060305,-0.0073554,-0.0073829,-0.0118265,-0.0158894,-0.0173125
6.963,-0.0086709,-0.006243,-0.0075659,-0.0074941,-0.0121814,-0.0164692,-0.0179363
6.9688,-0.0086742,-0.0062457,-0.0075687,-0.0074958,-0.0121862,-0.0164775,-0.017945
6.9784,-0.00868,-0.0062503,-0.0075734,-0.0074987,-0.0121944,-0.0164913,-0.0179597
6.9831,-0.0086828,-0.0062524,-0.0075757,-0.0075002,-0.0121984,-0.0164981,-0.0179669
6.9857,-0.0086844,-0.0062536,-0.0075769,-0.007501,-0.0122005,-0.0165018,-0.0179708
6.9866,-0.0086849,-0.006254,-0.0075774,-0.0075013,-0.0122013,-0.0165032,-0.0179722
7.0058,-0.0086972,-0.0062627,-0.0075871,-0.0075079,-0.0122178,-0.0165317,-0.0180023
7.4605,-0.0090208,-0.0064208,-0.0078409,-0.0077601,-0.0126672,-0.0173538,-0.0188252
7.4782,-0.0090285,-0.006426,-0.0078493,-0.0077711,-0.0126858,-0.0173858,-0.0188577
7.4842,-0.009031,-0.0064278,-0.0078521,-0.0077747,-0.0126921,-0.0173965,-0.0188686
7.4847,-0.0090312,-0.006428,-0.0078523,-0.007775,-0.0126927,-0.0173974,-0.0188695
7.4894,-0.0090331,-0.0064294,-0.0078545,-0.0077779,-0.0126976,-0.0174058,-0.0188781
7.5007,-0.0090375,-0.0064328,-0.0078595,-0.0077848,-0.0127096,-0.017426,-0.0188988
7.501,-0.0090377,-0.0064328,-0.0078597,-0.007785,-0.0127099,-0.0174265,-0.0188993
7.9767,-0.0091578,-0.0065964,-0.0080293,-0.0080356,-0.0132087,-0.0182088,-0.0197153
7.9837,-0.0091606,-0.0065994,-0.0080326,-0.0080388,-0.013216,-0.0182204,-0.0197269
7.9878,-0.0091624,-0.0066012,-0.0080345,-0.0080406,-0.0132203,-0.0182272,-0.0197337
7.9883,-0.0091626,-0.0066014,-0.0080348,-0.0080409,-0.0132208,-0.0182281,-0.0197346
7.9901,-0.0091634,-0.0066022,-0.0080356,-0.0080417,-0.0132227,-0.0182311,-0.0197376
7.9917,-0.0091641,-0.0066029,-0.0080364,-0.0080424,-0.0132244,-0.0182338,-0.0197403
7.9954,-0.0091657,-0.0066045,-0.0080382,-0.0080441,-0.0132283,-0.01824,-0.0197464
8.4755,-0.0094939,-0.0068315,-0.0083324,-0.0082587,-0.0137193,-0.0190524,-0.0205662
8.4774,-0.0094951,-0.0068323,-0.0083335,-0.0082596,-0.0137211,-0.0190553,-0.0205695
8.4847,-0.0094998,-0.0068353,-0.0083378,-0.008263,-0.0137281,-0.0190664,-0.0205826
8.485,-0.0094999,-0.0068354,-0.008338,-0.0082631,-0.0137283,-0.0190668,-0.020583
8.4861,-0.0095006,-0.0068359,-0.0083386,-0.0082636,-0.0137294,-0.0190685,-0.020585
8.4904,-0.0095033,-0.0068377,-0.0083411,-0.0082656,-0.0137335,-0.019075,-0.0205927
8.4974,-0.0095077,-0.0068406,-0.0083452,-0.0082689,-0.0137402,-0.0190856,-0.0206052
8.9681,-0.0097021,-0.007006,-0.0085604,-0.0085079,-0.0142086,-0.0197407,-0.0214595
8.9775,-0.0097059,-0.0070093,-0.0085642,-0.0085129,-0.0142196,-0.0197545,-0.0214762
8.9822,-0.0097078,-0.007011,-0.0085661,-0.0085155,-0.0142251,-0.0197614,-0.0214845
8.99,-0.0097109,-0.0070139,-0.0085692,-0.0085197,-0.0142343,-0.0197729,-0.0214982
8.9909,-0.0097113,-0.0070142,-0.0085696,-0.0085202,-0.0142355,-0.0197744,-0.0214999
9.0012,-0.0097155,-0.007018,-0.0085737,-0.0085257,-0.0142478,-0.0197897,-0.0215179
9.0016,-0.0097157,-0.0070181,-0.0085739,-0.0085259,-0.0142482,-0.0197902,-0.0215186
