x,Up,1,5,10,20,25,30
-0.0284,-0.076111,-0.058829,-0.046163,0.034897,0.067903,0.217999,0.201174
-0.0211,-0.075997,-0.058738,-0.04603,0.034995,0.068078,0.218074,0.201235
-0.0189,-0.075963,-0.05871,-0.04599,0.035025,0.068131,0.218097,0.201254
-0.0151,-0.075903,-0.058662,-0.04592,0.035078,0.068224,0.218137,0.201286
-0.0076,-0.075786,-0.058568,-0.045784,0.035179,0.068404,0.218214,0.201349
-0.0058,-0.075758,-0.058545,-0.045751,0.035204,0.068448,0.218233,0.201364
-0.0028,-0.075712,-0.058508,-0.045698,0.035243,0.068518,0.218263,0.201388
0.4763,-0.068313,-0.052068,-0.036829,0.041955,0.080132,0.223304,0.205309
0.4803,-0.068252,-0.052007,-0.036752,0.042015,0.080231,0.223348,0.205341
0.4812,-0.068238,-0.051993,-0.036734,0.042029,0.080253,0.223358,0.205348
0.4872,-0.068147,-0.051901,-0.036618,0.042119,0.080402,0.223424,0.205395
0.4875,-0.068143,-0.051897,-0.036613,0.042123,0.080408,0.223426,0.205397
0.4884,-0.06813,-0.051884,-0.036597,0.042136,0.080429,0.223436,0.205403
0.4923,-0.06807,-0.051824,-0.036521,0.042195,0.080527,0.223479,0.205434
0.9722,-0.06085,-0.043836,-0.027163,0.050174,0.092448,0.228873,0.208363
0.9743,-0.060818,-0.0438,-0.027122,0.050214,0.092501,0.228897,0.208371
0.9784,-0.060756,-0.043734,-0.027045,0.050288,0.092601,0.228942,0.208384
0.9796,-0.060737,-0.043714,-0.027021,0.050312,0.092631,0.228957,0.208389
0.982,-0.060701,-0.043675,-0.026976,0.050356,0.09269,0.228983,0.208397
0.9904,-0.060573,-0.043538,-0.026816,0.050511,0.092896,0.229078,0.208424
0.9945,-0.060511,-0.043471,-0.026739,0.050587,0.092997,0.229124,0.208437
1.4749,-0.05319,-0.035815,-0.017712,0.05954,0.104641,0.234466,0.209171
1.4806,-0.053108,-0.035718,-0.017601,0.059635,0.104777,0.23453,0.209178
1.4838,-0.05306,-0.035662,-0.017537,0.05969,0.104856,0.234566,0.209183
1.485,-0.053043,-0.035642,-0.017514,0.05971,0.104884,0.234579,0.209184
1.4862,-0.053026,-0.035622,-0.017492,0.059729,0.104912,0.234592,0.209186
1.4937,-0.052918,-0.035493,-0.017344,0.059854,0.105093,0.234675,0.209196
1.4962,-0.052881,-0.035449,-0.017294,0.059897,0.105155,0.234704,0.209199
1.7257,-0.04967,-0.031257,-0.01264,0.063419,0.110657,0.237226,0.209597
1.9767,-0.044885,-0.026409,-0.007448,0.06735,0.116528,0.239719,0.209992
1.9815,-0.044791,-0.026318,-0.007351,0.067431,0.116637,0.239761,0.209997
1.9832,-0.044756,-0.026284,-0.007314,0.067462,0.116678,0.239777,0.209998
1.9889,-0.044644,-0.026175,-0.007198,0.067562,0.116808,0.239827,0.210003
1.9904,-0.044614,-0.026146,-0.007167,0.067588,0.116842,0.239841,0.210005
1.9965,-0.044494,-0.026028,-0.007043,0.067695,0.116982,0.239895,0.21001
1.9984,-0.044456,-0.025992,-0.007004,0.067729,0.117025,0.239911,0.210011
2.4682,-0.035627,-0.016907,0.002741,0.077071,0.12802,0.243505,0.2099
2.4771,-0.035471,-0.016724,0.00294,0.077254,0.128249,0.243573,0.209899
2.4872,-0.035296,-0.016518,0.003164,0.077459,0.128508,0.243651,0.209897
2.4875,-0.03529,-0.016511,0.003172,0.077466,0.128517,0.243653,0.209897
2.4887,-0.03527,-0.016487,0.003198,0.07749,0.128547,0.243662,0.209897
2.4919,-0.035214,-0.016419,0.003272,0.077556,0.128632,0.243688,0.209896
2.4975,-0.035117,-0.016303,0.003397,0.07767,0.128777,0.243731,0.209896
2.9709,-0.026841,-0.006138,0.01483,0.086985,0.141317,0.247445,0.209474
2.9752,-0.026755,-0.006047,0.014934,0.087068,0.141415,0.247474,0.209461
2.9756,-0.026747,-0.00604,0.014943,0.087075,0.141423,0.247476,0.209459
2.9858,-0.02654,-0.005823,0.015189,0.087275,0.141656,0.247543,0.209426
2.9913,-0.026427,-0.005707,0.015322,0.087382,0.141779,0.247579,0.209408
2.9923,-0.026407,-0.005687,0.015345,0.087401,0.141801,0.247585,0.209405
2.993,-0.026393,-0.005672,0.015362,0.087415,0.141816,0.247589,0.209402
3.4593,-0.015692,0.00406,0.026256,0.09678,0.150921,0.249742,0.206983
3.4794,-0.015238,0.004508,0.026741,0.097203,0.151333,0.249807,0.206875
3.4834,-0.015148,0.004598,0.026838,0.097288,0.151416,0.24982,0.206854
3.4853,-0.015104,0.004642,0.026885,0.097328,0.151456,0.249826,0.206844
3.4885,-0.015032,0.004714,0.026963,0.097396,0.151523,0.249836,0.206827
3.4977,-0.014828,0.004921,0.027185,0.09759,0.151715,0.249865,0.206779
3.5019,-0.014735,0.005017,0.027289,0.097679,0.151805,0.249878,0.206757
3.9764,-0.004749,0.017166,0.039462,0.107825,0.162408,0.250922,0.204638
3.98,-0.004672,0.017264,0.039553,0.107899,0.162478,0.250927,0.204622
3.9861,-0.004538,0.017433,0.039708,0.108027,0.162598,0.250934,0.204595
3.9869,-0.004518,0.017458,0.03973,0.108045,0.162615,0.250936,0.204591
3.9879,-0.004497,0.017484,0.039755,0.108065,0.162634,0.250937,0.204586
3.9887,-0.004479,0.017507,0.039776,0.108082,0.16265,0.250938,0.204583
3.9901,-0.004449,0.017546,0.039811,0.108111,0.162677,0.25094,0.204576
4.4811,0.007808,0.031419,0.052247,0.118563,0.171183,0.251307,0.201396
4.4838,0.007882,0.031494,0.052318,0.118626,0.171233,0.251308,0.20137
4.4886,0.008015,0.031627,0.052444,0.118737,0.171323,0.25131,0.201324
4.4899,0.00805,0.031662,0.052478,0.118767,0.171348,0.251311,0.201312
4.4967,0.00824,0.031851,0.052659,0.118926,0.171477,0.251315,0.201246
4.5036,0.008432,0.032041,0.052842,0.119087,0.171609,0.251318,0.201178
4.5045,0.008458,0.032067,0.052866,0.119109,0.171627,0.251319,0.201169
4.9686,0.022105,0.044804,0.065724,0.130429,0.18081,0.251445,0.196029
4.9732,0.022238,0.044934,0.065848,0.130534,0.180882,0.251444,0.195984
4.9736,0.022252,0.044948,0.065861,0.130545,0.180889,0.251444,0.19598
4.9763,0.022331,0.045024,0.065934,0.130606,0.180931,0.251444,0.195954
4.9819,0.022495,0.045185,0.066085,0.130734,0.181017,0.251442,0.1959
4.983,0.022526,0.045216,0.066114,0.130759,0.181034,0.251442,0.19589
4.9912,0.022767,0.045453,0.066337,0.130947,0.181159,0.25144,0.195811
5.4659,0.036381,0.059883,0.079054,0.141286,0.186966,0.250878,0.191792
5.4685,0.036458,0.059963,0.079127,0.141346,0.186999,0.250871,0.191767
5.4744,0.036632,0.060146,0.079296,0.141484,0.187076,0.250857,0.19171
5.4819,0.036852,0.060377,0.079508,0.141658,0.187174,0.250838,0.191638
5.4836,0.036903,0.060429,0.079557,0.141698,0.187196,0.250834,0.191622
5.4937,0.037202,0.060742,0.079846,0.141936,0.187331,0.250808,0.191522
5.4937,0.037203,0.060742,0.079847,0.141937,0.187331,0.250808,0.191522
5.9334,0.050405,0.074246,0.093333,0.152343,0.193933,0.249065,0.18583
5.9397,0.050588,0.074439,0.093528,0.152472,0.194011,0.249035,0.185743
5.9459,0.050769,0.074631,0.09372,0.152599,0.194087,0.249006,0.185656
5.9463,0.05078,0.074643,0.093732,0.152607,0.194091,0.249004,0.18565
5.9525,0.05096,0.074834,0.093923,0.152732,0.194166,0.248974,0.185564
5.9541,0.051006,0.074884,0.093972,0.152764,0.194185,0.248967,0.185541
5.9603,0.051184,0.075073,0.094161,0.152888,0.194257,0.248937,0.185456
6.4502,0.065159,0.090656,0.108475,0.161217,0.197976,0.246536,0.178399
6.4614,0.065493,0.091033,0.108787,0.161397,0.198048,0.246479,0.178216
6.4626,0.065529,0.091073,0.10882,0.161416,0.198056,0.246473,0.178196
6.473,0.065838,0.091421,0.109106,0.161582,0.198123,0.24642,0.178026
6.4731,0.065844,0.091428,0.109111,0.161585,0.198124,0.246419,0.178023
6.4752,0.065907,0.091499,0.10917,0.161619,0.198138,0.246409,0.177988
6.4772,0.065965,0.091565,0.109223,0.161651,0.198151,0.246399,0.177955
6.9319,0.080271,0.10707,0.1215,0.169301,0.200999,0.243427,0.169759
6.942,0.080585,0.107391,0.121774,0.169477,0.201042,0.243331,0.169596
6.9468,0.080733,0.107541,0.121903,0.16956,0.201062,0.243285,0.16952
6.9572,0.081053,0.107865,0.122183,0.16974,0.201104,0.243184,0.169356
6.9632,0.081237,0.108051,0.122344,0.169843,0.201127,0.243124,0.169262
6.965,0.081293,0.108107,0.122393,0.169875,0.201134,0.243106,0.169234
6.9775,0.081676,0.108494,0.122732,0.170092,0.201181,0.242979,0.169041
7.4418,0.094836,0.121571,0.135358,0.178313,0.202244,0.237334,0.162487
7.4576,0.095255,0.122005,0.135779,0.178603,0.202284,0.237154,0.162252
7.4627,0.095388,0.122143,0.135912,0.178695,0.202298,0.237097,0.162177
7.4671,0.095504,0.122263,0.136029,0.178776,0.202309,0.237048,0.162111
7.4685,0.095542,0.122303,0.136067,0.178802,0.202313,0.237031,0.162089
7.472,0.095634,0.122399,0.13616,0.178867,0.202323,0.236992,0.162036
7.4775,0.095778,0.12255,0.136305,0.178967,0.202338,0.236931,0.161953
7.9475,0.107646,0.135575,0.148336,0.187487,0.204063,0.23187,0.153402
7.9508,0.107727,0.135663,0.148419,0.187542,0.204074,0.231829,0.153333
7.9531,0.107784,0.135724,0.148476,0.18758,0.204082,0.2318,0.153285
7.9535,0.107795,0.135737,0.148488,0.187587,0.204084,0.231795,0.153276
7.9675,0.108144,0.136113,0.148842,0.18782,0.204132,0.231617,0.15298
7.9718,0.108251,0.136229,0.14895,0.187891,0.204146,0.231561,0.152889
