x,Flaps Up,Flaps 1,Flaps 5,Flaps 10,Flaps 20,Flaps 25,Flaps 30
-0.019,0.025922,0.026054,0.004061,-0.008029,-0.03254,-0.054806,-0.064954
-0.0166,0.025914,0.026045,0.004053,-0.008036,-0.032546,-0.054818,-0.064976
-0.011,0.025896,0.026025,0.004035,-0.008051,-0.032558,-0.054848,-0.065025
-0.0055,0.025877,0.026004,0.004016,-0.008066,-0.032571,-0.054877,-0.065075
2.22045e-16,0.025859,0.025984,0.003998,-0.008081,-0.032583,-0.054906,-0.065124
0.011,0.025822,0.025944,0.003961,-0.00811,-0.032608,-0.054964,-0.065223
0.4859,0.024513,0.024504,0.002578,-0.009367,-0.033732,-0.057422,-0.069392
0.4914,0.024504,0.024494,0.002567,-0.009381,-0.033746,-0.05745,-0.069439
0.497,0.024495,0.024484,0.002556,-0.009395,-0.03376,-0.057478,-0.069486
0.4993,0.024491,0.02448,0.002551,-0.009401,-0.033766,-0.057489,-0.069505
0.5025,0.024486,0.024474,0.002545,-0.009409,-0.033774,-0.057505,-0.069532
0.508,0.024478,0.024465,0.002534,-0.009423,-0.033789,-0.057533,-0.069579
0.9829,0.023863,0.023893,0.001784,-0.01065,-0.035221,-0.060005,-0.07345
0.9884,0.023847,0.023881,0.00177,-0.010665,-0.035241,-0.060037,-0.073495
0.9897,0.023843,0.023878,0.001767,-0.010669,-0.035246,-0.060045,-0.073506
0.9939,0.023832,0.023869,0.001757,-0.010681,-0.035261,-0.060069,-0.073539
0.9994,0.023816,0.023856,0.001742,-0.010697,-0.035281,-0.060101,-0.073583
1.4798,0.021664,0.021957,4.3e-05,-0.012153,-0.037047,-0.063203,-0.077582
1.4802,0.021663,0.021955,4.1e-05,-0.012154,-0.037048,-0.063206,-0.077585
1.4964,0.021591,0.021877,-1.6e-05,-0.012201,-0.037098,-0.063313,-0.077728
1.5074,0.021542,0.021823,-5.5e-05,-0.012233,-0.037132,-0.063387,-0.077826
1.9768,0.019895,0.01965,-0.001699,-0.013739,-0.038477,-0.06642,-0.08219
1.9933,0.019846,0.019583,-0.001768,-0.013809,-0.038543,-0.066527,-0.082345
1.9989,0.01983,0.01956,-0.001792,-0.013832,-0.038565,-0.066562,-0.082396
2.002,0.019821,0.019548,-0.001805,-0.013846,-0.038578,-0.066583,-0.082425
2.0044,0.019814,0.019538,-0.001816,-0.013856,-0.038588,-0.066598,-0.082447
2.4848,0.0181,0.017698,-0.004322,-0.016367,-0.041072,-0.069804,-0.086768
2.4855,0.018097,0.017694,-0.004326,-0.016371,-0.041076,-0.069809,-0.086774
2.4903,0.018072,0.017672,-0.004354,-0.016396,-0.041102,-0.069842,-0.086816
2.5013,0.018014,0.017621,-0.004419,-0.016456,-0.04116,-0.069919,-0.086912
2.5069,0.017985,0.017595,-0.004451,-0.016485,-0.041189,-0.069958,-0.08696
2.5179,0.017926,0.017543,-0.004516,-0.016544,-0.041247,-0.070036,-0.087056
2.5234,0.017896,0.017516,-0.004548,-0.016573,-0.041275,-0.070074,-0.087104
2.9817,0.014932,0.014959,-0.007387,-0.018884,-0.043459,-0.073386,-0.090785
2.9872,0.014897,0.014926,-0.007423,-0.018913,-0.043486,-0.073425,-0.090824
2.9928,0.014861,0.014893,-0.007459,-0.018941,-0.043514,-0.073465,-0.090864
2.9968,0.014835,0.01487,-0.007485,-0.018962,-0.043534,-0.073494,-0.090892
2.9983,0.014825,0.014861,-0.007495,-0.018969,-0.043541,-0.073505,-0.090903
3.0038,0.01479,0.014828,-0.007531,-0.018998,-0.043569,-0.073544,-0.090942
3.4838,0.011834,0.011835,-0.010707,-0.021774,-0.046309,-0.076922,-0.093973
3.4842,0.011831,0.011832,-0.01071,-0.021776,-0.046311,-0.076925,-0.093975
3.4952,0.011758,0.011754,-0.010783,-0.02185,-0.04638,-0.077003,-0.094038
3.5008,0.011721,0.011715,-0.010819,-0.021887,-0.046414,-0.077042,-0.09407
3.5063,0.011684,0.011675,-0.010855,-0.021924,-0.046448,-0.077081,-0.094101
3.9867,0.00804,0.007964,-0.014201,-0.025541,-0.049659,-0.080548,-0.09649
3.9922,0.007995,0.007921,-0.014245,-0.025585,-0.0497,-0.080588,-0.096514
3.9951,0.00797,0.007898,-0.014268,-0.025608,-0.049722,-0.080609,-0.096526
3.9977,0.007949,0.007878,-0.014289,-0.025628,-0.049741,-0.080628,-0.096537
4.0088,0.007859,0.007792,-0.014377,-0.025715,-0.049823,-0.080709,-0.096583
4.4836,0.003845,0.0041,-0.018678,-0.029231,-0.053481,-0.084122,-0.09829
4.4891,0.003797,0.004055,-0.01873,-0.029268,-0.053523,-0.084161,-0.098308
4.5057,0.003654,0.003917,-0.018887,-0.029378,-0.053647,-0.084276,-0.098362
4.5112,0.003607,0.00387,-0.018939,-0.029414,-0.053688,-0.084314,-0.09838
4.5169,0.003558,0.003823,-0.018992,-0.029452,-0.05373,-0.084353,-0.098398
4.5278,0.003464,0.003731,-0.019095,-0.029523,-0.053811,-0.084428,-0.098433
4.9806,-0.000453,-0.000372,-0.023132,-0.032536,-0.057033,-0.08755,-0.099755
4.983,-0.000474,-0.000394,-0.023152,-0.032555,-0.057051,-0.087567,-0.099761
4.9861,-0.0005,-0.000422,-0.023177,-0.032579,-0.057073,-0.08759,-0.099768
4.9971,-0.000595,-0.000521,-0.023267,-0.032664,-0.057153,-0.08767,-0.099794
5.0027,-0.000643,-0.00057,-0.023312,-0.032707,-0.057194,-0.08771,-0.099806
5.0192,-0.000785,-0.000718,-0.023447,-0.032837,-0.057315,-0.087832,-0.099844
