x,Curve1
0.00082,82.5113
0.00949,80.0415
0.01767,77.3643
0.02507,75.004
0.0344,72.5449
0.04437,70.0419
0.05476,67.4625
0.06605,65.0137
0.08124,62.5093
0.09599,59.9832
0.11184,57.4677
0.12963,54.9298
0.14964,52.5442
0.17092,50.0163
0.19131,47.4231
0.21546,45.0254
0.24173,42.4633
0.26586,39.9892
0.29628,37.4915
0.33106,34.9707
0.36695,32.5588
0.39905,30.6284
0.4511,27.6334
0.5001,25.4144
0.55037,23.0422
0.59981,20.8558
0.65015,18.7347
0.70052,16.7664
0.74359,15.1496
0.80122,12.6552
0.85408,10.2059
0.89931,7.7259
0.93712,5.1825
0.97101,2.6402
0.99947,0.0993
