x,Curve1
-0.00067,89.9206
0.00016,87.489
0.00049,85.0109
0.00089,82.5018
0.0079,79.9939
0.01832,77.4866
0.0309,75.0263
0.04627,72.458
0.06102,69.967
0.07978,67.5387
0.09855,65.033
0.12072,62.497
0.1432,59.9455
0.16938,57.4876
0.19372,54.921
0.22424,52.4639
0.25692,49.9917
0.28929,47.5195
0.32661,45.0172
0.36115,42.5144
0.4025,39.9974
0.44446,37.496
0.48734,35.0722
0.5324,32.5249
0.57559,30.1476
0.62219,27.6005
0.66632,25.084
0.71044,22.6604
0.7521,20.097
0.79437,17.5801
0.83354,15.1402
0.87241,12.6227
0.90881,10.0892
0.94026,7.5704
0.96552,5.1123
0.98553,2.5139
0.99934,0.0538
