GPSSecondsToday,Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),Thermocouple 5 (deg C),Thermocouple 6 (deg C),Thermocouple 7 (deg C),PANELT (deg C),Thermocouple 9 (deg C),EGT R (deg C),Thermocouple 11 (deg C),EGT L (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),CTL TEMPERATURE (deg C),OIL T TEMPERATURE (deg C),CARB TEMPERATURE (deg C),FUEL PRESSURE (PSI),ELEV POSITION (%),GEAR CONTACT (V),GP Input 7,GP Input 8,FUEL L LEVEL (gal),FUEL R LEVEL (gal),OIL P PRESSURE (PSI),CTR TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,
51953.940,1493.38,2,9,2021-03-29 14:25:53,-33.59043,+21.82771,8396,54.8,283.6,+26.8,,,,,14:25:54,+11.2,-0.6,306.7,61.6,+8014,-0.2,-0.01,+0.9,62,+366,+12,71.1,29.92,+9559,296,17,133,,165.0,-2600,,,,,,,,,,,,,,,,,,3,1,0,2000,,,5495,5495,21.9,0.0,0.0,4.6,,,10.5,13.7,,-2.0,208.3,188.0,,,,,,,,+28,,+677,,+745,,,+94.1,+111.5,+39.1,+4.6,-90,+4.996,,,+7.7,+7.5,+57.5,+24.0,,,,,
51954.060,1493.50,2,9,2021-03-29 14:25:54,-33.59042,+21.82765,8396,54.9,283.7,+26.8,,,,,14:25:54,+11.2,-0.5,306.7,61.6,+8015,-0.2,-0.01,+0.9,62,+352,+12,71.1,29.92,+9559,296,17,133,,165.0,-2600,,,,,,,,,,,,,,,,,,3,0,0,2000,,,5495,5495,21.9,0.0,0.0,4.6,,,10.5,13.7,,-2.0,208.3,188.0,,,,,,,,+28,,+676,,+745,,,+94.0,+111.4,+39.1,+4.6,-90,+4.996,,,+7.7,+7.5,+57.5,+23.6,,,,,
51954.180,1493.62,2,9,2021-03-29 14:25:54,-33.59040,+21.82759,8398,55.1,283.7,+26.8,,,,,14:25:54,+11.1,-0.4,306.8,61.8,+8015,-0.1,-0.01,+0.9,62,+344,+12,71.3,29.92,+9559,296,17,133,,165.0,-2600,,,,,,,,,,,,,,,,,,3,0,0,2000,,,5498,5498,21.9,0.0,0.0,4.6,,,10.5,13.7,,-2.0,208.3,188.0,,,,,,,,+28,,+676,,+745,,,+93.9,+111.2,+39.1,+4.6,-90,+4.996,,,+7.6,+7.5,+57.4,+22.1,,,,,
51954.310,1493.75,2,9,2021-03-29 14:25:54,-33.59040,+21.82759,8398,55.1,283.7,+26.8,,,,,14:25:54,+11.0,-0.4,306.9,62.0,+8015,-0.1,-0.01,+0.9,62,+331,+12,71.6,29.92,+9559,296,17,133,,165.0,-2600,,,,,,,,,,,,,,,,,,3,0,0,2000,,,5498,5498,21.9,0.0,0.0,4.7,,,10.5,13.7,,-2.0,208.3,188.0,,,,,,,,+28,,+676,,+745,,,+93.9,+111.1,+39.1,+4.7,-90,+4.996,,,+7.6,+7.5,+57.5,+23.8,,,,,
51954.440,1493.88,2,9,2021-03-29 14:25:54,-33.59039,+21.82753,8399,55.3,283.8,+26.8,,,,,14:25:54,+10.7,-0.4,306.9,62.3,+8016,-0.0,-0.01,+0.9,62,+324,+12,71.9,29.92,+9559,296,17,133,,165.0,-2600,,,,,,,,,,,,,,,,,,3,0,0,2000,,,5500,5500,21.9,0.0,0.0,4.8,,,10.5,13.7,,-2.0,208.3,188.0,,,,,,,,+28,,+676,,+745,,,+94.0,+111.2,+39.1,+4.8,-90,+4.996,,,+7.6,+7.5,+57.5,+24.2,,,,,
51954.560,1494.00,2,9,2021-03-29 14:25:54,-33.59038,+21.82747,8400,55.5,283.9,+26.8,,,,,14:25:54,+10.5,-0.4,307.0,62.4,+8016,-0.0,-0.01,+0.9,61,+316,+12,72.0,29.92,+9559,296,17,133,,165.0,-2600,,,,,,,,,,,,,,,,,,3,0,0,2000,,,5500,5500,21.9,0.0,0.0,4.8,,,10.5,13.7,,-2.0,208.3,188.0,,,,,,,,+28,,+676,,+745,,,+94.0,+111.3,+39.1,+4.8,-90,+4.996,,,+7.6,+7.5,+57.4,+23.4,,,,,
51954.680,1494.12,2,9,2021-03-29 14:25:54,-33.59038,+21.82747,8400,55.5,283.9,+26.8,,,,,14:25:54,+10.2,-0.3,307.0,62.6,+8017,+0.0,-0.01,+0.9,61,+301,+12,72.2,29.92,+9559,296,17,133,,165.0,-2600,,,,,,,,,,,,,,,,,,3,0,0,2000,,,5498,5498,21.9,0.0,0.0,4.9,,,10.5,13.7,,-2.0,208.3,188.0,,,,,,,,+28,,+676,,+745,,,+94.0,+111.3,+39.1,+4.9,-90,+4.996,,,+7.6,+7.5,+57.5,+24.5,,,,,
51954.810,1494.25,2,9,2021-03-29 14:25:54,-33.59037,+21.82741,8401,55.6,283.9,+26.8,,,,,14:25:55,+9.9,-0.3,307.1,62.7,+8017,+0.1,-0.01,+0.9,61,+294,+12,72.3,29.92,+9559,296,17,133,,165.0,-2600,,,,,,,,,,,,,,,,,,3,0,0,2000,,,5498,5498,21.9,0.0,0.0,4.9,,,10.5,13.7,,-2.0,208.3,188.0,,,,,,,,+28,,+676,,+745,,,+93.9,+111.2,+39.1,+4.9,-90,+4.996,,,+7.6,+7.5,+57.5,+24.4,,,,,
51954.940,1494.38,2,9,2021-03-29 14:25:54,-33.59037,+21.82741,8402,55.6,283.9,+26.8,,,,,14:25:55,+9.6,-0.3,307.1,62.8,+8017,+0.1,-0.01,+0.9,60,+284,+12,72.5,29.92,+9559,296,17,133,,165.0,-2600,,,,,,,,,,,,,,,,,,3,0,0,2000,,,5500,5500,21.9,0.0,0.0,4.9,,,10.5,13.7,,-2.0,208.3,188.0,,,,,,,,+28,,+676,,+745,,,+93.9,+111.2,+39.1,+4.9,-90,+4.996,,,+7.6,+7.5,+57.5,+24.1,,,,,
51955.060,1494.50,2,9,2021-03-29 14:25:55,-33.59035,+21.82735,8402,55.8,284.0,+26.8,,,,,14:25:55,+9.2,-0.3,307.1,63.0,+8018,+0.1,-0.01,+0.9,59,+274,+12,72.8,29.92,+9559,296,17,133,,165.0,-2600,,,,,,,,,,,,,,,,,,3,0,0,2000,,,5500,5500,21.9,0.0,0.0,4.9,,,10.5,13.7,,-2.0,208.3,188.0,,,,,,,,+28,,+676,,+745,,,+94.1,+111.5,+39.1,+4.9,-90,+4.996,,,+7.6,+7.5,+57.5,+26.2,,,,,
